CRS SUBJ CD,CRS NBR,CRS TITLE,DEPT CD,DEPT NAME,A,B,C,D,F,ADV,CR,DFR,I,NG,NR,O,PR,S,U,W,Primary Instructor,Grade Regs,SUBJECT NAME
AAST,100,Intro African American Studies,2363,Black Studies,25,12,15,3,1,0,0,0,0,0,0,0,0,0,0,4,"Barnes, Natasha B.",60,AAST
AAST,103,African Amer Politics&Culture,2363,Black Studies,3,6,2,0,0,0,0,0,0,0,1,0,0,0,0,1,"Johnson, Cedric",13,AAST
AAST,104,African Americans & Education,2363,Black Studies,13,6,5,0,0,0,0,0,3,0,0,0,0,0,0,1,"Stovall, David O",28,AAST
AAST,111,Intro Af Amer Lit Since 1910,2363,Black Studies,6,13,5,1,2,0,0,0,0,0,0,0,0,0,0,4,"Jun, Helen Heran",31,AAST
AAST,248,African Amer Hist since 1877,2363,Black Studies,1,12,10,0,1,0,0,0,0,0,0,0,0,0,0,1,"Jabir, Johari",25,AAST
AAST,261,Reading Black Women Writing,2363,Black Studies,4,5,0,0,0,0,0,0,2,0,0,0,0,0,0,1,"Ferguson, Roderick A",12,AAST
AAST,263,Afr Amer Intellectual History,2363,Black Studies,10,4,0,0,0,0,0,0,3,0,0,0,0,0,0,3,"Clarke, Ainsworth A.",20,AAST
AAST,294,James Baldwin,2363,Black Studies,7,4,5,1,0,0,0,0,0,0,0,0,0,0,0,2,"Jabir, Johari",19,AAST
ACTG,210,Intro Fin Acct for Actg Majors,2656,Accounting,25,64,23,15,4,0,0,0,0,0,0,0,0,0,0,22,"Galvan, Abel",153,ACTG
ACTG,210,Intro Financial Accounting,2656,Accounting,12,26,41,22,26,0,0,0,1,0,0,0,0,0,0,18,"Thomas, Barbara Ann",146,ACTG
ACTG,211,Intro Managerial Accounting,2656,Accounting,17,37,74,24,20,0,0,0,0,0,0,0,0,0,0,5,"Salama, Yehia A.",177,ACTG
