CRS SUBJ CD,CRS NBR,CRS TITLE,DEPT CD,DEPT NAME,A,B,C,D,F,ADV,CR,DFR,I,NG,NR,O,PR,S,U,W,Primary Instructor,Grade Regs,SUBJECT NAME
ACTG,210,Intro to Fin Actg,2656,Accounting,19,13,12,6,7,0,0,0,0,0,0,0,0,0,0,2,"Lord Pearson, Eva Marie",59,ACTG
ACTG,210,Intro Financial Accounting,2656,Accounting,22,9,6,1,0,0,0,0,0,0,0,0,0,0,0,3,Grad Asst,41,ACTG
ACTG,210,Intro to Fin Actg,2656,Accounting,48,41,35,11,5,0,0,0,0,0,0,0,0,0,0,3,"Zufarov, Rustam",143,ACTG
ACTG,210,Intro to Fin Actg,2656,Accounting,29,58,39,10,8,0,0,0,0,0,0,0,0,0,0,8,"Magina, Nicholas",152,ACTG
ACTG,210,Intro to Fin Actg,2656,Accounting,70,56,19,16,10,0,0,0,0,0,0,0,0,0,0,11,"Attah-Gyamfi, Erasmus",182,ACTG
ACTG,210,Intro Financial Accounting,2656,Accounting,31,45,28,9,9,0,0,0,0,0,0,0,0,0,0,5,"Lord Pearson, Eva Marie",127,ACTG
ACTG,210,Intro to Fin Actg,2656,Accounting,58,36,24,6,5,0,0,0,1,0,0,0,0,0,0,9,"Eccher, Elizabeth",139,ACTG
ACTG,211,Intro Managerial Accounting,2656,Accounting,12,10,12,0,0,0,0,0,0,0,0,0,0,0,0,5,Grad Asst,39,ACTG
ACTG,211,Intro Mgrl Actg for BBA online,2656,Accounting,26,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Jastrzebski, Ronald J",34,ACTG
ACTG,211,Intro Managerial Accounting,2656,Accounting,159,94,41,15,3,0,0,0,0,0,0,0,0,0,0,8,"Attah-Gyamfi, Erasmus",320,ACTG
ACTG,315,Intermediate Financial Actg I,2656,Accounting,49,58,22,6,2,0,0,0,0,0,0,0,0,0,0,1,"Nekrasov, Alexander",138,ACTG
ACTG,316,Intermediate Financial Actg II,2656,Accounting,63,25,5,3,0,0,0,0,0,0,0,0,0,0,0,0,"Zhong, Rong",96,ACTG
ACTG,326,Cost Accounting,2656,Accounting,17,16,5,3,5,0,0,0,0,0,0,0,0,0,0,2,"Hart, Daphne",48,ACTG
ACTG,355,Business Law I,2656,Accounting,16,17,14,8,0,0,0,0,0,0,0,0,0,0,0,0,"Leahy, Edward",55,ACTG
ACTG,355,Business Law I,2656,Accounting,10,13,11,3,2,0,0,0,0,0,1,0,0,0,0,1,"Scully, George",41,ACTG
ACTG,417,Adv Financial Accounting,2656,Accounting,9,14,5,2,0,0,0,0,0,0,0,0,0,0,0,0,"Chen, Gary",30,ACTG
ACTG,435,Auditing,2656,Accounting,36,26,4,1,0,0,0,0,0,0,0,0,0,0,0,0,"Atatsi, Joseph",67,ACTG
ACTG,445,Federal Income Tax I,2656,Accounting,25,47,16,3,2,0,0,0,0,0,0,0,0,0,0,0,"Savoy, Steven J",93,ACTG
ACTG,446,Federal Income Tax II,2656,Accounting,11,12,10,1,1,0,0,0,0,0,0,0,0,0,0,0,"Mc Donagh, Eamonn Michael",35,ACTG
ACTG,456,Business Law II,2656,Accounting,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leahy, Edward",10,ACTG
ACTG,470,Ethical Environment Business,2656,Accounting,35,32,17,4,2,0,0,0,2,0,1,0,0,0,0,2,"Scully, George",95,ACTG
ACTG,474,Actg Information Systems,2656,Accounting,45,65,20,4,3,0,0,0,0,0,0,0,0,0,0,11,"Jastrzebski, Ronald J",148,ACTG
ACTG,475,Database Accounting Systems,2656,Accounting,4,6,3,4,3,0,0,0,0,0,0,0,0,0,0,1,"Kupchek, Michael J",21,ACTG
ACTG,484,International Accounting,2656,Accounting,4,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,"Salama, Yehia A.",12,ACTG
ACTG,492,Accounting Data Analytics,2656,Accounting,8,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,"Ramakrishnan, Ram T S",11,ACTG
ACTG,493,Actg Cases Research & Analysis,2656,Accounting,26,36,10,0,1,0,0,0,0,0,0,0,0,0,0,2,"Balachandran, Sudhakar V",75,ACTG
ACTG,500,Intro Financial Actg,2656,Accounting,19,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,"Salama, Yehia A.",39,ACTG
ACTG,500,Intro Financial Actg,2656,Accounting,16,13,2,0,1,0,0,0,0,0,0,0,0,0,0,0,"Demerjian, Peter",32,ACTG
ACTG,500,Intro Financial Actg,2656,Accounting,21,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,"Lord Pearson, Eva Marie",30,ACTG
ACTG,503,Financial Accounting II,2656,Accounting,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,"Salama, Yehia A.",12,ACTG
ACTG,506,Management Accounting,2656,Accounting,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"Das, Somnath",11,ACTG
ACTG,516,Financial Statement Analysis,2656,Accounting,8,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Ramakrishnan, Ram T S",16,ACTG
