CRS SUBJ CD,CRS NBR,CRS TITLE,DEPT CD,DEPT NAME,A,B,C,D,F,ADV,CR,DFR,I,NG,NR,O,PR,S,U,W,Primary Instructor,Grade Regs,SUBJECT NAME
AAST,100,Intro African American Studies,2363,Black Studies,26,17,13,2,0,0,0,0,0,0,0,0,0,0,0,2,"Barnes, Natasha B.",60,AAST
AAST,101,Intro to African Diaspora,2363,Black Studies,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,2,"Jackson, Lynette A.",30,AAST
AAST,103,African Amer Politics&Culture,2363,Black Studies,8,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Johnson, Cedric",16,AAST
AAST,104,African Americans & Education,2363,Black Studies,14,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,"Stovall, David O",25,AAST
AAST,111,Intro Af Amer Lit Since 1910,2363,Black Studies,8,19,4,0,1,0,0,0,0,0,0,0,0,0,0,0,"Jun, Helen Heran",32,AAST
AAST,242,Modern Africa,2316,History,3,7,9,3,1,0,0,0,0,0,0,0,0,0,0,3,"Hoppe, Kirk A",26,AAST
AAST,248,African Amer Hist since 1877,2363,Black Studies,14,7,2,0,1,0,0,1,0,0,0,0,0,0,0,3,Grad Asst,28,AAST
AAST,250,Comparative Black Literatures,2363,Black Studies,2,3,2,0,1,0,0,0,1,0,0,0,0,0,0,2,"Brown, Nicholas Mainey",11,AAST
AAST,261,Reading Black Women Writing,2363,Black Studies,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Richie, Beth E",11,AAST
AAST,262,Black Cultural Studies,2363,Black Studies,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"Barcliff Baptista, Lori Danielle",12,AAST
AAST,263,Afr Amer Intellectual History,2363,Black Studies,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"Clarke, Ainsworth A.",13,AAST
ACTG,210,Intro Financial Accounting,2656,Accounting,10,22,47,41,23,0,0,0,0,0,0,0,0,0,0,25,"Thomas, Barbara Ann",168,ACTG
ACTG,210,Intro Fin Acct for Actg Majors,2656,Accounting,11,22,9,5,2,0,0,0,0,0,0,0,0,0,0,2,"Galvan, Abel",51,ACTG
ACTG,210,Intro Fin Acct for Actg Majors,2656,Accounting,8,16,13,4,4,0,0,0,0,0,0,0,0,0,0,6,"Salama, Yehia A.",51,ACTG
ACTG,211,Intr Man Actg for Bus Scholars,2656,Accounting,13,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"Martin, Melissa",29,ACTG
ACTG,211,Intro Managerial Accounting,2656,Accounting,21,71,61,22,9,0,0,0,0,0,0,0,0,0,0,5,"Jastrzebski, Ronald J",189,ACTG
ACTG,211,Intro Mang Acct for Actg Major,2656,Accounting,12,36,15,9,3,0,0,0,0,0,0,0,0,0,0,1,"Martin, Melissa",76,ACTG
ACTG,211,Intro Mang Acct for Actg Major,2656,Accounting,2,5,3,3,1,0,0,0,0,0,0,0,0,0,0,5,"Thomas, Barbara Ann",19,ACTG
ACTG,315,Intermediate Financial Actg I,2656,Accounting,19,23,29,12,0,0,0,0,0,0,0,0,0,0,0,1,"Nekrasov, Alexander",84,ACTG
ACTG,316,Intermediate Financial Actg II,2656,Accounting,56,49,3,1,1,0,0,0,0,0,0,0,0,0,0,0,"Zhong, Rong",110,ACTG
ACTG,326,Cost Accounting,2656,Accounting,11,35,15,2,1,0,0,0,0,0,0,0,0,0,0,1,"Kemp, Robert E",65,ACTG
ACTG,355,Business Law I,2656,Accounting,12,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leahy, Edward",29,ACTG
ACTG,355,Business Law I,2656,Accounting,19,16,4,4,1,0,0,0,0,0,0,0,0,0,0,0,"Scully, George",44,ACTG
ACTG,417,Adv Financial Accounting,2656,Accounting,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chen, Gary",15,ACTG
ACTG,435,Auditing,2656,Accounting,14,29,6,3,2,0,0,0,0,0,0,0,0,0,0,1,"Galvan, Abel",55,ACTG
ACTG,445,Federal Income Tax I,2656,Accounting,28,50,17,3,1,0,0,0,0,0,0,0,0,0,0,1,"Savoy, Steven J",100,ACTG
ACTG,446,Federal Income Tax II,2656,Accounting,5,14,7,0,0,0,0,0,0,0,0,0,0,0,0,1,"Keesee, Timothy C",27,ACTG
ACTG,465,Govt & Non-Profit Actg,2656,Accounting,3,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,"Kemp, Robert E",11,ACTG
ACTG,470,Ethical Environment Business,2656,Accounting,63,35,6,4,0,0,0,0,0,0,0,0,0,0,0,1,"Scully, George",109,ACTG
ACTG,474,Actg Information Systems,2656,Accounting,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Goodman, Charles Joseph",19,ACTG
ACTG,474,Actg Information Systems,2656,Accounting,40,27,5,0,0,0,0,0,0,0,0,0,0,0,0,3,"Jastrzebski, Ronald J",75,ACTG
ACTG,475,Database Accounting Systems,2656,Accounting,10,12,11,4,1,0,0,0,0,0,0,0,0,0,0,0,"Popowits, Michael T",38,ACTG
ACTG,484,International Accounting,2656,Accounting,2,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,"Salama, Yehia A.",16,ACTG
ACTG,493,Actg Cases Research & Analysis,2656,Accounting,8,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0,"Balachandran, Sudhakar V",22,ACTG
ACTG,493,Actg Cases Research & Analysis,2656,Accounting,13,25,6,1,0,0,0,0,0,0,0,0,0,0,0,1,"Li, Siyi",46,ACTG
ACTG,494,Enterprise Accting Systems,2656,Accounting,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Akinosho, Michael",16,ACTG
ACTG,500,Intro Financial Actg,2656,Accounting,17,25,2,0,0,0,0,0,1,0,0,0,0,0,0,1,"Eccher, Elizabeth",46,ACTG
ACTG,500,Intro Financial Actg,2656,Accounting,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Goodman, Charles Joseph",18,ACTG
ACTG,506,Management Accounting,2656,Accounting,15,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kemp, Robert E",26,ACTG
ACTG,525,Mgmt Control/Strateg Performnc,2656,Accounting,10,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Balachandran, Sudhakar V",25,ACTG
