CRS SUBJ CD,CRS NBR,CRS TITLE,DEPT CD,DEPT NAME,A,B,C,D,F,ADV,CR,DFR,I,NG,NR,O,PR,S,U,W,Primary Instructor,Grade Regs,SUBJECT NAME
ACTG,210,Intro Financial Accounting,2656,Accounting,25,26,12,6,1,0,0,0,0,0,0,0,0,0,0,5,"Liu, Shibao",75,ACTG
ACTG,210,Intro Financial Accounting,2656,Accounting,19,11,5,3,0,0,0,0,1,0,0,0,0,0,0,1,"Lee, Jaehoon",40,ACTG
ACTG,210,Intro Financial Accounting,2656,Accounting,20,22,15,4,2,0,0,0,0,0,0,0,0,0,0,0,"McGuinness, Brian",63,ACTG
ACTG,210,Intro Fin Actg BBA Online,2656,Accounting,7,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,"Attah-Gyamfi, Erasmus",17,ACTG
ACTG,210,Intro Financial Accounting,2656,Accounting,23,19,15,4,1,0,0,0,0,0,0,0,0,0,0,1,"Lord Pearson, Eva Marie",63,ACTG
ACTG,210,Intro Financial Accounting,2656,Accounting,37,39,28,5,8,0,0,0,0,0,1,0,0,0,0,8,"Das, Somnath",126,ACTG
ACTG,211,Intro Managerial Accounting,2656,Accounting,65,65,29,11,0,0,0,0,1,0,0,0,0,0,0,7,"Bonham, Jonathan",178,ACTG
ACTG,211,Intro Mngrl Actg Bus Scholar,2656,Accounting,40,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Patel, Neel Vasudev",44,ACTG
ACTG,211,Intro Managerial Accounting,2656,Accounting,44,52,32,14,8,0,0,0,0,0,0,0,0,0,0,5,"Jastrzebski, Ronald J",155,ACTG
ACTG,211,Intro Managerial Accounting,2656,Accounting,83,24,10,2,4,0,0,0,0,0,0,0,0,0,0,2,"Patel, Neel Vasudev",125,ACTG
ACTG,211,Intro Managerial Accounting,2656,Accounting,45,45,19,8,4,0,0,0,0,0,0,0,0,0,0,1,"Lord Pearson, Eva Marie",122,ACTG
ACTG,315,Intermediate Financial Actg I,2656,Accounting,33,21,33,3,2,0,0,0,1,0,0,0,0,0,0,14,"Raval, Vivek",107,ACTG
ACTG,316,Intermediate Financial Actg II,2656,Accounting,38,60,25,3,1,0,0,0,1,0,0,0,0,0,0,3,"McLaughlin, Michael Patrick",131,ACTG
ACTG,326,Cost Accounting,2656,Accounting,42,55,32,5,3,0,0,0,1,0,0,0,0,0,0,4,"Patrick, Paige",142,ACTG
ACTG,355,Business Law I,2656,Accounting,11,17,15,10,1,0,0,0,0,0,0,0,0,0,0,2,"Leahy, Edward",56,ACTG
ACTG,355,Business Law I,2656,Accounting,18,20,14,6,1,0,0,0,0,0,0,0,0,0,0,1,"Scully, George",60,ACTG
ACTG,417,Adv Financial Accounting,2656,Accounting,7,10,8,7,2,0,0,0,0,0,0,0,0,0,0,2,"Salama, Yehia A.",36,ACTG
ACTG,435,Auditing,2656,Accounting,43,55,23,2,5,0,0,0,0,0,0,0,0,0,0,5,"Judd, Joshua Scott",133,ACTG
ACTG,445,Federal Income Tax I,2656,Accounting,22,83,4,1,0,0,0,0,0,0,0,0,0,0,0,4,"Savor, Stephanie Sikes",114,ACTG
ACTG,446,Federal Income Tax II,2656,Accounting,28,35,15,1,0,0,0,0,0,0,0,0,0,0,0,1,"Hwang, Jay",80,ACTG
ACTG,465,Govt & Non-Profit Actg,2656,Accounting,1,6,4,3,2,0,0,0,0,0,0,0,0,0,0,3,"Salama, Yehia A.",19,ACTG
ACTG,470,Ethical Environment Business,2656,Accounting,23,26,10,6,1,0,0,0,8,0,0,0,0,0,0,5,"Scully, George",79,ACTG
ACTG,474,Actg Information Systems,2656,Accounting,40,43,25,1,8,0,0,0,0,0,0,0,0,0,0,6,"Chen, Jason Victor",123,ACTG
ACTG,475,Database Accounting Systems,2656,Accounting,10,15,8,2,4,0,0,0,0,0,0,0,0,0,0,1,"Kupchek, Michael J",40,ACTG
ACTG,484,International Accounting,2656,Accounting,2,4,6,3,5,0,0,0,0,0,0,0,0,0,0,4,"Salama, Yehia A.",24,ACTG
ACTG,493,Actg Cases Research & Analysis,2656,Accounting,40,37,18,3,0,0,0,0,0,0,0,0,0,0,0,4,"Engel, Ellen",102,ACTG
ACTG,500,Intro Financial Actg,2656,Accounting,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Atatsi, Joseph",32,ACTG
ACTG,500,Intro Financial Actg,2656,Accounting,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Foutty, Kenton Alan",21,ACTG
ACTG,500,Intro Financial Actg,2656,Accounting,41,24,3,2,0,0,0,0,0,0,0,0,0,0,0,0,"Magina, Nicholas",70,ACTG
ACTG,500,Intro Financial Actg,2656,Accounting,43,18,7,3,4,0,0,0,0,0,0,0,0,0,0,1,"Attah-Gyamfi, Erasmus",76,ACTG
ACTG,516,Financial Statement Analysis,2656,Accounting,11,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"McLaughlin, Michael Patrick",19,ACTG
ACTG,537,Fraud Examination,2656,Accounting,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Magina, Nicholas",11,ACTG
ACTG,594,Anti-Money Laundering,2656,Accounting,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Atatsi, Joseph",16,ACTG
AH,100,Intro to Art &Art History,2910,Art History,4,17,8,3,5,0,0,0,0,0,0,0,0,0,0,2,"Vujkov, Aleksandar",39,AH
AH,100,Intro to Art &Art History,2910,Art History,11,12,10,3,2,0,0,0,0,0,0,0,0,0,0,1,"Putnam, Jaclyn Marie",39,AH
AH,110,World Hist Art & Built Env I,2910,Art History,129,105,54,8,23,0,0,0,4,0,0,0,0,0,0,17,"Harmansah, Omur",340,AH
AH,125,Asian Art and Architecture,2910,Art History,10,12,4,1,1,0,0,0,0,0,0,0,0,0,0,1,"Schuster, Maggie",29,AH
AH,160,Trends in Contemp Art,2910,Art History,24,10,2,0,1,0,0,0,2,0,0,0,0,0,0,0,"Adibfar, Leili",39,AH
AH,180,Intro to Museum & Exhibition,2910,Art History,14,11,5,2,0,0,0,0,0,0,0,0,0,0,0,2,"Espinoza-Leon, Mariela",34,AH
AH,201,Reading&Writing Art Criticism,2910,Art History,18,6,3,0,6,0,0,0,0,0,0,0,0,0,0,7,"Smart, Alan Adams",40,AH
AH,204,Greek Art & Archaeology,2349,Classics & Mediterran Studies,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,"Ros, Karen E",14,AH
AH,232,Film History I: 1890-WWII,2492,English,9,10,2,3,1,0,0,0,0,0,0,0,0,0,0,0,"Rubin, Martin L.",25,AH
AH,250,Italian Renaissance Art,2910,Art History,5,2,4,6,1,0,0,0,0,0,0,0,0,0,0,4,"Pollak, Martha",22,AH
AH,259,Eighteenth-Century Art,2910,Art History,5,12,7,0,8,0,0,0,3,0,0,0,0,0,0,5,"Dubin, Nina",40,AH
AH,263,Latin Amer Colonial Art,2910,Art History,20,8,0,0,1,0,0,0,1,0,0,0,0,0,0,2,"Ortega, Emmanuel",32,AH
AH,273,Visual Culture Ancient Andes,2910,Art History,5,8,3,4,3,0,0,0,0,0,0,0,0,0,0,1,"Finegold, Andrew",24,AH
AH,510,WHAT WAS ART?,2910,Art History,18,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,"Stimson, Blake",20,AH
AH,531,Haunted S & SE Asia,2727,Urban Planning and Policy,16,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"Becker, Catherine",19,AH
AHS,100,Applied Hlth Science Seminar I,2797,Applied Health Sciences Admin,0,0,0,0,0,0,0,0,0,0,0,0,0,68,28,1,"Najdzin, Rachel Leigh",97,AHS
AHS,101,Rehab Sci Student Success,2797,Applied Health Sciences Admin,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,"Akinola, Olayemi",23,AHS
AHS,102,Intro Clinical Research,2797,Applied Health Sciences Admin,13,10,0,1,1,0,0,0,0,0,0,0,0,0,0,1,"Akinola, Olayemi",26,AHS
AHS,200,Intro Integrated Health,2797,Applied Health Sciences Admin,26,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Alve, Mohammad Yeasir Arafat",40,AHS
AHS,200,Intro Integrated Health,2797,Applied Health Sciences Admin,113,18,3,0,1,0,0,0,0,0,0,0,0,0,0,4,"Kieso, Tiana Al-Aswad",139,AHS
