CRS SUBJ CD,CRS NBR,CRS TITLE,DEPT CD,DEPT NAME,A,B,C,D,F,ADV,CR,DFR,I,NG,NR,O,PR,S,U,W,Primary Instructor,Grade Regs,SUBJECT NAME
ACTG,210,Intro Financial Acct,2656,Accounting,20,21,12,5,4,0,0,0,0,0,0,0,0,0,0,10,Grad Asst,72,ACTG
ACTG,210,Intro Fin Actg BBA Online,2656,Accounting,20,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"Jastrzebski, Ronald J",26,ACTG
ACTG,210,Intro Financial Accounting,2656,Accounting,63,142,86,13,16,0,0,0,0,0,0,0,0,0,0,18,"Eccher, Elizabeth",338,ACTG
ACTG,211,Intro Managerial Accounting,2656,Accounting,54,40,17,1,2,0,0,0,1,0,0,0,0,0,0,0,"Martin, Melissa",115,ACTG
ACTG,211,Intro Managerial Accounting,2656,Accounting,154,106,40,12,11,0,0,0,0,0,0,0,0,0,0,6,"Attah-Gyamfi, Erasmus",329,ACTG
ACTG,211,Intro Managerial Accounting,2656,Accounting,20,20,12,7,2,0,0,0,0,0,0,0,0,0,0,2,Grad Asst,63,ACTG
ACTG,211,Intro Managerial Accounting,2656,Accounting,35,56,27,5,2,0,0,0,0,0,0,0,0,0,0,0,"Jastrzebski, Ronald J",125,ACTG
ACTG,315,Intermediate Financial Actg I,2656,Accounting,27,18,39,3,1,0,0,0,0,0,0,0,0,0,0,16,"Raval, Vivek",104,ACTG
ACTG,316,Intermediate Financial Actg II,2656,Accounting,8,9,20,6,7,0,0,0,0,0,0,0,0,0,0,13,"Salama, Yehia A.",63,ACTG
ACTG,326,Cost Accounting,2656,Accounting,34,39,40,5,1,0,0,0,1,0,0,0,0,0,0,2,"Patrick, Paige",122,ACTG
ACTG,355,Business Law I,2656,Accounting,13,17,17,3,2,0,0,0,0,0,0,0,0,0,0,1,"Leahy, Edward",53,ACTG
ACTG,355,Business Law I,2656,Accounting,10,7,17,9,6,0,0,0,0,0,0,0,0,0,0,5,"Scully, George",54,ACTG
ACTG,417,Adv Financial Accounting,2656,Accounting,12,21,3,0,2,0,0,0,0,0,0,0,0,0,0,3,"Chen, Gary",41,ACTG
ACTG,435,Auditing,2656,Accounting,28,38,15,0,4,0,0,0,0,0,0,0,0,0,0,3,"Judd, Joshua Scott",88,ACTG
ACTG,445,Federal Income Tax I,2656,Accounting,18,47,4,3,1,0,0,0,0,0,0,0,0,0,0,0,"Savor, Stephanie Sikes",73,ACTG
ACTG,446,Federal Income Tax II,2656,Accounting,7,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,"Mc Donagh, Eamonn Michael",16,ACTG
ACTG,470,Ethical Environment Business,2656,Accounting,23,34,16,9,3,0,0,0,1,0,0,0,0,0,0,5,"Scully, George",91,ACTG
ACTG,474,Actg Information Systems,2656,Accounting,31,23,12,7,2,0,0,0,0,0,0,0,0,0,0,4,"Chen, Jason Victor",79,ACTG
ACTG,475,Database Accounting Systems,2656,Accounting,7,6,6,1,1,0,0,0,0,0,0,0,0,0,0,2,"Kupchek, Michael J",23,ACTG
ACTG,484,International Accounting,2656,Accounting,2,6,8,0,4,0,0,0,0,0,0,0,0,0,0,0,"Salama, Yehia A.",20,ACTG
ACTG,493,Actg Cases Research & Analysis,2656,Accounting,35,34,14,1,2,0,0,0,0,0,0,0,0,0,0,5,"Engel, Ellen",91,ACTG
ACTG,500,Intro Financial Actg,2656,Accounting,99,56,7,0,3,0,0,0,0,0,1,0,0,0,0,0,"Lord Pearson, Eva Marie",166,ACTG
ACTG,500,Intro Financial Actg,2656,Accounting,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Atatsi, Joseph",30,ACTG
ACTG,502,Financial Accounting I,2656,Accounting,9,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,"Pandit, Shailendra",19,ACTG
